기준_년분기_코드,상권_구분_코드,상권_코드,상권_코드_명,총_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,총_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,상권_변화_지표,연령대_10_총_인구_수,연령대_20_총_인구_수,연령대_30_총_인구_수,연령대_40_총_인구_수,연령대_50_총_인구_수,연령대_60_이상_총_인구_수
20241,A,3110014,경복고등학교,916,87,122,82,125,165,335,51327,12130,5810,5887,8826,7927,10747,7617,12184,9879,9240,8060,4348,7521,7156,7480,7321,7355,7388,7107,401668112,11554,272121230,129546882,39595951,68858909,57956019,56648805,49061546,59918806,69628076,0,12975544,229927339,58848110,93793007,6124112,193972659,127981581,1025323,9413777,43404824,69309159,90583985,108217171,HH,12217,5932,5969,8951,8092,11082
20241,A,3110015,청와대사랑채,672,89,83,94,112,120,174,60330,7320,8840,10491,12615,9372,11690,6407,12215,12192,13067,10914,5536,8660,8446,9338,8718,8722,8528,7921,249436869,20890,156755934,92680935,34780012,25940311,30741086,28416392,36878133,53449324,39231611,0,7086818,84028252,97266388,61055411,0,66731550,178236781,938453,97891181,78704804,35981820,23625013,7827059,HL,7409,8923,10585,12727,9492,11864
20241,A,3110016,평창동동측,1988,217,199,253,247,295,777,38589,6195,5409,4646,5125,6001,11214,8332,8563,5889,5674,6036,4096,5721,5636,5395,5569,5189,5470,5608,174736291,5880,100576280,74160011,25846648,17402558,20487443,16664102,20175529,35449358,38710653,0,1847569,94310153,52040947,26156516,381106,78897811,72423985,90162,7250233,20968990,32642497,50503977,39865937,HH,6412,5608,4899,5372,6296,11991
20241,A,3110017,정독도서관,700,99,73,76,111,126,215,418403,51193,58300,66546,81392,66955,94015,84309,87080,72160,72971,64135,37747,59522,59251,61689,61244,62256,59975,54465,41996225,2588,21537757,20458468,1908541,2322073,4231577,9100939,3974627,12975113,7483355,0,1709645,9500743,15441004,6978461,8366372,17470370,21992206,0,6310165,15057284,12196395,4230615,1668116,LH,51292,58373,66622,81503,67081,94230
20241,A,3110018,중앙고등학교,2897,278,340,383,489,520,887,399028,56529,51007,67780,75659,67824,80228,86341,87753,62393,63204,58188,41150,57593,60499,61592,61360,58713,50732,48538,1079657223,46510,715971477,363685746,125766463,138075260,148807019,163447390,139875345,211018138,152667608,739450,21077902,435086768,287549717,322604904,12598482,386884056,496542057,1593222,181680524,271558764,155385023,163032508,110176070,LH,56807,51347,68163,76148,68344,81115
20241,A,3110019,창덕궁,271,11,16,30,37,45,132,567570,29501,100485,106311,113125,107447,110700,59819,111298,116082,123902,112787,43682,83244,88844,93884,90342,89308,67477,54468,1148406739,92310,812847711,335559028,117795003,155729584,187073304,164455363,187794457,204564978,130994050,6382828,132816337,437122089,292456635,184700897,94927953,352975150,582440354,1118699,268151616,327739650,153565194,125847874,58992469,HH,29512,100501,106341,113162,107492,110832
20241,A,3110020,서울국제고등학교,4097,312,589,953,537,556,1150,1719460,269918,732211,156208,159589,174799,226734,518920,373068,194080,177531,236248,219611,245152,254483,251137,253317,237190,238841,239340,689056032,49301,567474558,121581474,93329995,118764072,125249387,106057881,124073223,76281130,45300344,8988164,21342068,296839427,56263619,264220063,41402691,396966752,226460047,13340724,208980830,82258218,87749065,125079697,106018266,LL,270230,732800,157161,160126,175355,227884
20241,A,3110021,성균관대학교,1851,129,316,522,230,207,447,1349411,195674,545996,151666,150149,141651,164275,292638,257747,175757,185339,260631,177300,185583,189837,188987,192622,191394,202566,198423,1469638324,95878,945790168,523848156,124819206,178111334,197970157,212389736,232499735,293550406,230297750,49460832,46770916,431182201,289483092,488054374,164686909,734551357,673224781,25581055,520137382,292071104,201459594,259482128,109044872,HL,195803,546312,152188,150379,141858,164722
20241,A,3110022,경신고등학교,1513,187,235,281,254,224,332,511855,107631,106050,60341,75021,69706,93106,133493,111423,63241,60899,80314,62486,73102,73990,73428,74901,72048,70794,73592,334702127,14356,288940671,45761456,48769354,61263253,56352835,64566478,57988751,31876254,13885202,0,17793751,189638669,35372683,80298224,11598800,122989665,137703666,721274,26715216,32585116,56111763,78390501,66169462,HH,107818,106285,60622,75275,69930,93438
20241,A,3110023,서울대병원,681,47,60,233,106,76,159,787424,67432,182837,150966,129328,117610,139252,107844,176642,141699,147753,141677,71810,114314,121767,131241,124037,119948,94969,81149,1114713420,132303,984519463,130193957,177126176,198663666,208936088,207430739,192362794,83853555,46340402,2337600,124366003,614854379,161881598,186895580,24378260,443810530,498405243,2292090,131730418,254699889,219358448,206984211,127150715,HH,67479,182897,151199,129434,117686,139411
20241,A,3110024,혜회동주민센터,980,100,170,194,138,144,234,252502,44938,49775,31709,39876,36597,49607,57730,53252,33380,33883,44682,29576,35574,36051,36567,36543,35496,35770,36504,1375450744,47234,941896396,433554348,188172360,179418801,185229564,211397402,177678269,224567438,208986910,0,25674834,635012955,244296123,455913728,14553104,577275967,554758026,718821,96032223,185997478,195849640,303799934,349635893,HH,45038,49945,31903,40014,36741,49841
20241,A,3110025,충신시장옆,523,32,51,96,78,86,180,398233,29376,71414,65071,60938,74187,97247,93000,85547,59677,57675,61213,41121,57286,60113,61512,60046,58328,51433,49513,555581180,18401,480989965,74591215,67979067,104470419,97454347,104007535,107078597,53298671,21292544,69919665,30521986,202410828,31867667,186012188,34848846,274887941,115195298,0,28212324,76078386,72833617,130347168,82611742,HL,29408,71465,65167,61016,74273,97427
20241,A,3110027,혜화역 1번,2999,262,347,594,470,455,871,371701,36480,104283,69702,50859,52169,58208,69771,57833,50408,65703,87271,40715,46901,47547,51334,50183,52358,62391,60985,359252429,26912,245816098,113436331,37606148,47742753,59561441,47817168,53088588,69482600,43953731,1086896,2506617,146381458,89409793,105119791,14747874,135024304,182459011,3548493,77938709,103065608,56832898,55395381,20702225,LH,36742,104630,70296,51329,52624,59079
20241,A,3110028,이화달팽이길,4475,254,679,787,518,817,1420,2128097,195316,344576,298835,303882,397225,588263,602208,454955,258364,242143,309231,261196,302268,305518,312560,301914,297421,294065,314352,589858541,30754,469320077,120538464,78042128,102476992,106318310,83626993,98855654,95071205,25467259,22647321,26534187,234072967,90124771,146151608,70327687,259337612,191323636,5513542,55941668,101234490,99552635,108934720,79484198,HH,195570,345255,299622,304400,398042,589683
20241,A,3110029,동대문역 1번,6133,458,788,794,763,1261,2069,2610106,205592,373638,306380,338493,586921,799081,746943,547494,287403,284140,407629,336498,368197,370446,362288,370725,366845,382259,389347,623765554,24657,460755409,163010145,70008733,77026397,95082612,90342297,128295370,130698398,32311747,23791528,7465622,43036887,56215815,255973776,237281926,371375684,219351356,324406,72454740,114965092,109798282,161073895,132110625,HH,206050,374426,307174,339256,588182,801150
20241,A,3110030,동대문역 3번,239,14,21,40,25,52,87,158444,10074,24612,19554,20183,31341,52681,36289,33703,20962,21162,27438,18892,22537,22427,22507,22418,22663,23116,22775,1676778642,40250,1058089436,618689206,292841081,116749134,174832805,174143570,299522846,453924312,164764894,13392044,6723897,157591757,238481407,944025290,316564247,1062686083,577804429,0,144931569,327480747,220163943,541263875,406650379,HH,10088,24633,19594,20208,31393,52768
20241,A,3110032,수족관거리,32,1,2,4,5,8,12,104459,4619,11999,18379,23335,21429,24700,30089,22291,14568,13368,12852,11288,15809,15836,16511,16407,15171,11907,12818,42981615,895,30406931,12574684,4354208,4508850,5088352,8037564,8417957,2903709,9670975,1573938,2618150,19770236,3761328,14006852,1251111,26667862,9841217,61941,166585,12171545,6063459,6290172,11755377,HH,4620,12001,18383,23340,21437,24712
20241,A,3110033,창신역 4번,2222,182,228,304,323,411,774,642856,64424,91049,101294,99884,120408,165795,149205,130780,78688,82053,119019,83110,91547,90785,92110,91840,91012,92622,92938,232875950,14129,170915093,61960857,30316114,30878529,30196722,43767962,35755766,31368467,30592390,5283215,12176205,89291049,43383437,63395967,19346077,131672275,76941567,165298,8932426,27239925,43246418,60910363,68119412,HH,64606,91277,101598,100207,120819,166569
20241,A,3110034,창신1동주민센터,330,1,2,6,27,60,234,295733,18349,38945,58969,63639,53257,62575,78947,64223,41774,39633,39808,31348,43686,43723,45251,45084,42518,37054,38415,112421127,1472,94273198,18147929,5399692,33306464,12448476,19813279,23305287,12645208,5502721,0,0,29445327,10542709,39775559,32657532,60471622,19260424,0,2384958,7611874,19048078,15622613,35064525,HH,18350,38947,58975,63666,53317,62809
20241,A,3110035,동묘앞역 2번,3851,241,391,543,511,758,1407,1394548,123968,214647,204774,197393,267727,386040,432734,301829,148486,136472,186685,188341,195885,196913,194986,195168,196517,203966,211111,462453455,27907,341961633,120491822,48353603,76788852,72610306,76542465,67666407,72418528,48073294,40572416,15093931,109484568,47157288,153141253,97003999,258809096,189153766,1095835,45732182,79894528,73339772,119234097,128666446,HL,124209,215038,205317,197904,268485,387447
20241,A,3110036,동묘앞역 3번,162,3,10,38,22,28,61,372768,21703,79544,64868,56396,61239,89019,79317,76676,61539,62334,55519,37386,51126,50787,51911,51515,52322,56568,58540,150206181,22699,112908104,37298077,19282577,26634911,21275227,21899337,23816052,17801909,19496168,5996765,15211031,75612915,32930350,19594109,861011,90820128,39915804,572510,9361274,22203036,20046705,32016977,46535428,LL,21706,79554,64906,56418,61267,89080
20241,A,3110037,신설동역 12번,1645,128,159,233,243,281,601,764798,101506,92116,111426,102953,139688,217112,210546,158212,86447,86541,122624,100428,108296,110142,106562,108171,107295,109408,114925,88709466,1583,69144332,19565134,12094669,8248327,13186750,10951961,24662625,12812518,6752616,84020,233479,28574966,6907994,43964753,8944254,61316033,21417306,0,1247325,6988096,20728783,23665777,30103360,HH,101634,92275,111659,103196,139969,217713
20241,A,3110038,경향신문사,15,2,0,3,2,2,6,25237,2985,3521,5555,5930,4164,3084,1926,6068,5972,5780,4219,1272,3928,4370,4624,4353,4044,2114,1804,2724454526,201564,2317824018,406630508,406290058,505273798,489813746,491833479,424612937,219883914,186746594,4057966,235350373,1582063446,286607697,513168214,103206830,1095146985,943836776,10020549,172872696,443514379,546981924,507050026,358544187,HH,2987,3521,5558,5932,4166,3090
20241,A,3110039,회현역 1번,92,8,10,5,13,16,40,84635,6376,11171,15629,16430,14767,20262,14812,19207,14084,13619,14535,8379,12593,13261,13551,13137,12584,9618,9891,189597533,10699,179262548,10334985,29594253,37447685,35638559,40657442,35924609,10249056,85929,2841043,3669964,103254768,5985856,44390897,29455005,110634999,50108238,701456,14150961,46401169,54480718,25931123,19077808,LH,6384,11181,15634,16443,14783,20302
20241,A,3110040,중구회현체육센터(정화예술대남산캠퍼스),1084,73,92,141,163,157,458,147544,11428,17640,28025,29646,25881,34924,23186,33858,25998,26037,25176,13291,22241,22937,23665,22689,21956,17126,16929,596930905,39253,565604030,31326875,84031653,131727278,137174316,129269821,83400962,27550812,3776063,0,57863600,332969497,102292851,73190695,30614262,231620337,178597622,572583,38038316,110920380,126970259,89232045,44484373,HH,11501,17732,28166,29809,26038,35382
20241,A,3110041,남산케이블카,765,81,61,132,126,125,240,291529,49712,47991,47298,49960,45099,51472,50884,66022,53916,49218,46024,25465,42806,43856,44378,43342,42532,38741,35876,4682890397,100098,3588771533,1094118864,418899748,523302062,1048919505,637584299,960065919,677427513,416691351,40946021,352626467,1140687091,1308265959,1424449638,415915221,1664593511,1012178158,18572793,325091297,652957737,717079657,600145701,362924487,LL,49793,48052,47430,50086,45224,51712
20241,A,3110042,남산골공원옆,934,81,73,175,140,141,324,259726,22652,60893,45373,42528,40615,47664,31398,57915,46692,47009,53113,23598,39026,41869,43274,41992,40093,29002,24468,301714111,9292,289570578,12143533,45574776,62755020,61783849,68639455,50817478,11630556,512977,0,856894,184625566,15829511,73044583,27357557,95665626,54125949,0,11808656,33306527,30035347,34665931,39975116,LH,22733,60966,45548,42668,40756,47988
20241,A,3110043,충무초등학교,2059,161,339,622,262,241,434,768469,76103,272381,130580,99266,90976,99162,195293,169169,109640,100867,111021,82479,112201,118350,116823,119377,111118,96551,94045,611836403,34386,559148566,52687837,91865416,107599922,130235865,125775580,103671783,41135160,11552677,0,23394497,350444026,66130679,147263204,24603997,274039882,123332819,2196702,86361325,73992845,56615836,62036889,116169107,HH,76264,272720,131202,99528,91217,99596
20241,A,3110044,관성묘,259,23,29,54,46,37,70,180051,11642,48367,34077,29007,26086,30871,29130,38847,32986,32453,31052,15584,26405,27364,28849,27753,26677,22048,20952,426004478,6363,367518582,58485896,75160844,79822324,64781035,85011603,62742776,43437625,15048271,51628815,0,134708794,22689948,184935002,32041919,151986876,56722044,289735,25077905,51069501,45737904,28055345,58478533,HH,11665,48396,34131,29053,26123,30941
20241,A,3110045,동대문역사문화공원역 5번,999,67,89,170,130,141,402,395893,16371,76357,76306,70831,67163,88863,80663,87943,65803,62357,58494,40633,60282,63806,65767,63834,58538,42858,40806,2461117844,79028,2029976962,431140882,397988384,352194145,413389999,411040145,455364289,296194889,134945993,76593632,66050823,863355176,152733120,795345122,507039971,1132445842,763035755,5276354,387195150,552884582,356999452,330976771,262149293,HH,16438,76446,76476,70961,67304,89265
20241,A,3110048,장충동주민센터,2658,257,291,498,419,425,768,966860,81227,190106,187988,161418,147265,198855,213411,208489,139225,137128,160988,107620,140018,142195,144668,143662,138614,127911,129792,330315777,3696,221682963,108632814,30335730,31062858,22693963,89297552,48292860,56071579,52561235,70442,59590890,67089722,17217122,135095406,51252195,121825693,149829234,334598,11520995,40468362,44680572,64323890,110326511,HH,81484,190397,188486,161837,147690,199623
