기준_년분기_코드,상권_구분_코드,상권_코드,상권_코드_명,총_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,총_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,상권_변화_지표
20212,A,3110206,텃골근린공원,3750,386,589,504,551,619,1101,1633916,259398,215208,240501,259504,246121,413182,509656,331343,161080,157932,244140,229763,227263,227277,228719,225908,225798,242840,256113,179071019,6217,122365693,56705326,22835583,23548586,19294844,29885481,26801199,31781360,24923966,260203,743131,27796059,15352269,79650495,55268862,108770743,63991935,545117,37088751,38706430,30066457,44793609,21562314,LL
20212,A,3110207,시립대앞사거리,967,58,191,168,114,166,270,544189,49017,122389,74955,76611,80992,140225,143466,130147,62572,58050,81534,68420,78312,78782,78634,78809,78420,77109,74123,510241718,33199,391787281,118454437,72495331,74561846,74949589,78539219,91241296,64954176,53500261,4355876,20765103,102069463,44912560,176782708,161356008,304918852,188021599,34331521,211747101,85894995,53523707,78116350,29326776,LL
20212,A,3110208,시조사삼거리,841,54,251,147,82,116,191,372585,58777,95186,44864,48471,45121,80168,84988,77906,48316,48687,67627,45063,52156,52568,53040,52508,52819,54578,54916,571429,24,571429,0,0,571429,0,0,0,0,0,0,0,571429,0,0,0,571429,0,0,0,0,571429,0,0,LL
20212,A,3110210,서울시립대,3839,350,1058,508,426,491,1006,2243196,329287,737439,265438,237501,241975,431556,636170,495104,248825,231458,333663,297977,321986,323585,322348,323249,318568,312799,320662,1042088315,146842,742117248,299971067,137592616,140442514,152624019,158313495,153144604,154558031,145413036,31567700,78819620,291721199,174743361,340876222,124360213,588919359,435746426,27669647,388587588,223356117,177186384,159050939,48815107,LL
20212,A,3110211,전곡마을마당공원,3550,333,505,403,490,645,1174,2455027,466098,372709,315575,358608,355534,586503,576327,505437,324330,322039,425809,301084,357611,355741,349854,355277,350814,339047,346682,675261917,27247,484797078,190464839,83726325,96310255,91465477,81591226,131703795,105862453,84602386,32653591,7122445,152863136,56357883,290582916,135681946,382234278,204256291,5893522,78548219,69887091,131057545,172944170,128160022,LL
20212,A,3110212,답십리초등학교,2112,224,296,242,306,362,682,843512,158710,95044,125951,134601,123529,205678,226196,165052,93646,95702,146023,116893,119317,119302,120980,118781,119921,121592,123619,1497436562,39110,921921993,575514569,160473333,173806247,194918100,171281020,221443293,284554563,290960006,7514079,2080613,313713438,187589905,749415780,237122747,795485167,578424286,3799269,140121515,267365586,370866549,374022320,217734208,LH
20212,A,3110214,경희대후문,2745,231,1325,288,212,251,438,1164278,197472,528799,105647,98949,87084,146328,335287,247364,128666,123150,171579,158231,167218,167551,166826,168390,165168,162514,166610,660128589,85964,518633700,141494889,106240155,102974698,96637649,106299159,106482039,78269439,63225450,1159607,40802701,281857886,137423494,190871355,8013546,284318935,315923882,6609274,277771633,124953673,62214961,101881204,26593153,LH
20212,A,3110215,회기역 1번,2091,109,953,314,184,177,354,805074,88540,350781,100925,69155,70703,124970,238763,187145,85397,76590,113799,103380,114529,114257,115048,114547,113836,116171,116688,198546841,6494,155138947,43407894,33923015,27764708,30960732,27886381,34604111,36715908,6691986,2553381,216418,9072061,27282902,118389539,41032540,89845725,108120571,7417382,106548453,24090612,17155963,28327690,14426195,LL
20212,A,3110216,전농중학교,1182,114,158,156,158,223,373,397012,99479,49630,50069,65683,53896,78253,77876,80304,55648,57831,77310,48043,57704,56570,56243,56171,56533,56788,57004,560607029,41672,391411379,169195650,68467865,77466407,72308463,76113675,97054969,109012851,60182799,1320780,26410205,170413481,95196201,205523511,61742851,278928481,250046672,13598958,75613712,97505638,133210352,122048409,86801832,HH
20212,A,3110217,자동차부품상가,575,36,93,72,79,126,169,612777,60964,78702,113088,109900,99542,150584,146841,135602,80893,79624,97802,72018,88317,88442,87709,88217,88218,86180,85695,1118982,18,1118982,0,0,1066117,52865,0,0,0,0,0,0,1118982,0,0,0,1066117,52865,0,0,52865,0,0,1066117,HH
