기준_년분기_코드,상권_구분_코드,상권_코드,상권_코드_명,총_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,총_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,상권_변화_지표
20221,A,3110001,이북5도청사,1020,160,142,94,160,194,270,128326,22598,13668,12718,20204,21496,37641,30434,27297,16086,16038,22208,16264,18156,18059,18141,17922,17919,18872,19257,395320192,12960,233549114,161771078,32574146,44336287,51821798,47141034,57675849,82821339,78949739,2795113,11841380,138330434,88240954,144122588,9989723,220264738,110530427,775234,11089809,33308850,63786684,95343322,126491265,LH
20221,A,3110002,독립문역 1번,629,79,57,59,78,91,265,529340,102299,61338,64294,79637,81099,140674,124769,110475,67267,69263,91107,66461,75867,76468,76228,76133,75645,75032,73968,305476969,14267,241975525,63501444,52372436,46366505,49058256,45440981,48737347,58329790,5171654,0,8678095,137121265,58247322,94875712,6554575,186559256,102906716,412048,15488619,29867833,51410586,86378024,105908861,HH
20221,A,3110003,세검정초등학교,3212,603,399,372,551,533,754,729450,134297,80477,75480,119347,116581,203267,246155,153720,70906,67872,95111,95686,102542,102738,104501,104436,102552,105824,106857,415739649,15581,327957363,87782286,85901655,99850408,43963545,50331654,47910101,57776718,30005568,685714,2869243,100628852,44301687,137816485,129437668,257849827,109948463,5424654,43387458,61229952,107310919,76571034,73874273,HH
20221,A,3110004,대신고등학교,471,57,61,47,69,77,160,525499,104148,61934,67793,88034,77873,125718,108762,106314,69814,73885,99899,66826,74624,75338,74696,74663,74656,75897,75623,312840339,7706,181949781,130890558,30713470,27152197,43962531,32801757,47319826,57051822,73838736,0,15576004,86290325,54438885,145507485,11027640,164857201,94829202,613075,12224648,33959896,48161199,71521099,93206488,HH
20221,A,3110005,세검정,2153,356,294,250,346,374,533,125167,20889,12796,15822,19627,22767,33265,32155,24489,14835,14889,21356,17444,18015,17969,18177,18047,18028,17675,17255,211062634,7909,128431256,82631378,14077275,25601513,32084368,29523463,27144637,48968053,33663325,0,3560420,84564626,30307574,78285177,14344837,102484677,78952834,3181949,12112307,27016025,34417578,53767759,50941893,HH
20221,A,3110006,부암동주민센터,687,64,70,75,94,129,255,6845,1051,739,837,1284,1156,1780,1500,1589,901,883,1147,824,941,958,959,954,953,1018,1062,52678500,3990,27132521,25545979,2201864,6179389,7033974,6430641,5286653,14209106,11336873,0,0,12937585,18994345,16353743,4392827,19996629,29195950,256157,11044200,13573073,9447848,9235838,5635463,LH
20221,A,3110007,사직공원(한국사회과학도서관),1927,267,268,257,315,325,495,917103,197003,108140,112903,166611,131274,201172,279364,197463,94312,89196,131539,125231,127497,128672,129066,127692,127394,134201,142582,39000000,688,23100720,15899280,1613663,8915116,3968045,3912308,4691588,9903444,5995836,263475,0,8204475,1783244,20626435,8122371,19571752,14403932,0,9062158,10400024,6459083,4869118,3185301,LH
20221,A,3110008,배화여자대학교(박노수미술관),4595,714,563,656,846,716,1100,1242028,227676,170611,191381,214853,181559,255948,327927,257454,155662,146928,198166,155892,177142,176163,178253,179271,176173,177867,177159,3362990914,178731,1989945921,1373044993,232599637,491476072,446628565,388070679,431170968,700794019,672250974,4188985,69941790,965845222,1172608521,1051428958,98977438,1248219700,1919116103,18880924,1140478747,885112701,392748402,538545577,191569452,LL
20221,A,3110009,자하문터널,1602,216,209,237,305,277,358,177855,24791,19465,22570,33366,30913,46751,60271,36487,17681,16657,23038,23720,24972,25286,25269,25019,25338,26065,25906,470762733,14627,267110489,203652244,50328761,61795053,50851692,43175754,60959229,107263932,96388312,4016030,2027154,121855952,123134122,162558567,57170908,182330006,197218227,3358908,61265800,99084049,86131377,78228066,51480032,LL
20221,A,3110010,평창동서측,3134,428,389,369,499,549,900,176332,31040,18061,22235,26130,30643,48224,54302,36777,16850,16463,25648,26293,25273,25418,25351,24919,24998,25089,25285,458826877,42659,370786920,88039957,55382382,88975815,78905086,75780863,71742774,76145658,11894299,0,2521318,149165949,150478543,152306819,4354248,146270118,281974170,42207395,73576406,71221817,135632912,84595931,21009827,LH
