기준_년분기_코드,상권_구분_코드,상권_코드,상권_코드_명,총_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,총_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,상권_변화_지표,연령대_10_총_인구_수,연령대_20_총_인구_수,연령대_30_총_인구_수,연령대_40_총_인구_수,연령대_50_총_인구_수,연령대_60_이상_총_인구_수
20201,A,3110001,이북5도청사,869,128,118,88,135,154,246,162569,29141,16874,15294,24007,28498,48756,41302,35007,19504,19710,26425,20621,22833,22966,22673,22556,22258,24279,25002,398067368,12921,248513926,149553442,45471881,46973217,56282593,52677334,47108901,72685517,76867925,6117743,2731313,128057290,81514941,145831214,33814867,215502890,109800988,1070151,19106078,22434591,63097041,111434715,108161295,HH,29269,16992,15382,24142,28652,49002
20201,A,3110002,독립문역 1번,627,83,45,56,87,95,261,505715,88937,63701,52608,79075,75826,145568,110680,105369,65007,67551,92036,65070,72690,73595,73407,73242,72454,70245,70083,741030647,59185,556455734,184574913,103264733,108643975,119732674,130375416,94438936,106118091,78456822,4598665,77576671,241504544,148327944,215204862,53817961,308938927,323471111,1154391,60421383,92777839,159573760,170060085,148422581,HH,89020,63746,52664,79162,75921,145829
20201,A,3110003,세검정초등학교,3219,589,441,396,516,558,719,532293,97653,57382,55430,82540,83191,156097,173990,112138,54688,51639,70967,68871,74877,75499,75968,75886,75953,77025,77085,510471950,17068,365627929,144844021,52353775,86435211,80404458,55443987,90990498,106906247,37937774,94742581,2523529,87298960,40997729,105990631,178918520,329652710,133118648,3304905,39775734,70923296,110107590,183627984,55031848,HH,98242,57823,55826,83056,83749,156816
20201,A,3110004,대신고등학교,458,55,56,44,85,61,157,488597,89016,59165,62703,77007,71275,129429,103205,96471,62021,65719,95607,65575,70040,70431,70455,69850,69159,69435,69225,278686736,5271,151768582,126918154,21194402,25742321,39095545,32031740,33704574,58309185,68608969,0,804617,71872944,52683984,128372244,24952947,145953943,114491489,0,10271721,31901179,58658975,85377735,74235822,HH,89071,59221,62747,77092,71336,129586
20201,A,3110005,세검정,2198,362,318,245,354,382,537,311777,41077,33098,39797,47636,57721,92448,89221,66030,33025,31034,47015,45454,43977,44199,44305,43928,43833,45232,46302,196586410,8405,135382790,61203620,9566706,29952289,33404276,31683476,30776043,33513771,27689849,627157,2670206,77999799,34590822,73447027,7251399,88144863,84155150,545713,17403072,29453429,35615919,47206105,42075775,HH,41439,33416,40042,47990,58103,92985
20201,A,3110008,배화여자대학교(박노수미술관),4724,790,562,686,882,724,1080,1697555,284134,233298,255309,316155,242489,366170,528769,362863,179678,164677,237104,224466,239862,240883,243334,243953,237774,245422,246328,2061329655,126905,1239218377,822111278,131317385,214222618,284021317,293515427,316141630,386562859,435548419,9250563,52571872,631314075,753984381,543988628,70220136,732083296,1198753906,7035929,687907645,496861651,361806584,261413223,115812168,LL,284924,233860,255995,317037,243213,367250
20201,A,3110009,자하문터널,1665,243,245,231,302,279,365,201746,26198,29563,24189,35144,30148,56502,60195,43122,22083,21009,29258,26080,28304,28723,28889,28582,28247,29417,29585,478378469,7391,288825660,189552809,37662137,49749774,74548218,63805271,63060260,97775400,91777409,4609075,141167,109549835,86830522,214649900,62597970,195137100,158160038,1507609,74160265,77602599,92525505,79128485,28372677,LL,26441,29808,24420,35446,30427,56867
20201,A,3110010,평창동서측,2903,394,369,374,464,488,814,323068,51411,32681,39222,47185,56244,96324,83484,68171,39311,37948,52832,41322,46106,46417,46310,46345,45978,45834,46076,569649896,51212,412356598,157293298,15227028,86024907,93387051,102733497,114984115,149960302,7332996,0,1855296,236062294,229816148,100284344,1631814,159428783,395532997,124517552,118606251,79872257,125694930,65476564,40794226,HH,51805,33050,39596,47649,56732,97138
20201,A,3110012,성곡미술관,1990,291,290,275,336,357,441,471989,43066,60480,91494,92509,73752,110690,82682,106197,80091,77105,81210,44703,70903,73509,71737,72766,70354,56704,56017,1222531175,49537,1017634646,204896529,199897283,197139536,189607172,242416634,188574021,104025180,100871349,7104766,22774018,550484499,114465405,404859294,122843193,416893737,395831604,629715,167170787,224502933,183421989,153891334,83108585,HH,43357,60770,91769,92845,74109,111131
20201,A,3110014,경복고등학교,941,140,115,95,177,159,255,42991,6224,6988,6720,8121,6532,8405,6666,9631,7162,7694,7590,4247,6172,6205,6313,6297,6246,5957,5800,255478040,11250,183774821,71703219,41535773,35744172,40411362,34618076,31465438,33233191,38470028,0,11447624,121338662,38849915,76537537,7304302,132250172,83798551,1233095,21747510,39631979,56755502,53913545,42767089,LH,6364,7103,6815,8298,6691,8660
20201,A,3110015,청와대사랑채,587,98,81,87,109,101,111,70637,5975,12780,13366,14020,10887,13609,11767,14583,11409,12002,13273,7605,10320,10553,10608,10723,10474,9117,8841,469884553,15533,344597521,125287032,61667200,84313773,68058142,57037697,73520709,88150976,37136056,0,371810,105751602,120835995,171082591,71842555,171417805,252830455,575742,167522612,112685958,72070906,41377958,30015085,HL,6073,12861,13453,14129,10988,13720
20201,A,3110016,평창동동측,2184,288,394,240,269,359,634,27216,4079,2520,3174,4471,5316,7656,4388,6041,4235,4308,5391,2853,3769,3655,3727,3756,3783,4323,4201,205914244,7653,125098147,80816097,28112591,29379805,21596280,23941599,22067872,35339731,45476366,0,811458,86336289,58820680,59288911,656906,87149747,82963781,358453,17622821,31075579,35745509,51456213,33854950,HH,4367,2914,3414,4740,5675,8290
20201,A,3110018,중앙고등학교,2818,394,328,419,513,454,710,446216,52787,60460,80395,92714,68256,91604,111616,100415,62963,61827,61707,47689,67066,69578,66203,66695,65164,55927,55580,553224344,17403,379956236,173268108,62175429,84791142,75523833,66092589,91373243,122625027,50643081,0,6222962,215545220,129164661,169355446,32936055,224455200,196555445,364620,96371928,131301061,77871554,74137023,40964455,HL,53181,60788,80814,93227,68710,92314
20201,A,3110019,창덕궁,257,10,19,29,36,50,113,536485,26540,99676,96753,105859,97188,110468,49789,103341,113138,121616,109839,38762,83738,89273,86161,88489,85500,58296,45028,15336592,279,11699246,3637346,958519,1230705,1866400,3367509,4276113,3613909,23437,0,354049,1566577,2518031,4709736,6188199,5248907,7258102,0,3479051,5754260,2592339,547027,134330,HH,26550,99695,96782,105895,97238,110581
20201,A,3110020,서울국제고등학교,4068,468,1214,502,475,502,907,1708825,206661,590926,182438,199505,169072,360223,501924,365060,196275,183730,246502,215334,244239,245271,244654,243827,240058,242479,248295,371173077,29332,287801160,83371917,72196088,60873099,53699933,50112611,50919429,44088630,39283287,11588517,5183537,139157251,27714868,156062604,31466300,249967662,103263174,2175172,134582485,59660717,51039897,80623610,25148949,LL,207129,592140,182940,199980,169574,361130
20201,A,3110021,성균관대학교,1744,183,629,239,189,197,307,1118147,164502,387140,140619,128962,120959,175967,245975,215765,142981,152649,210909,149868,153816,155674,156577,158175,159748,166860,167295,911571785,57123,621826444,289745341,83049479,129143863,133317970,121732981,154582151,160421656,129323685,100709948,13826910,160004046,112751362,290128467,234151052,518579711,337626183,10146243,382457349,190728471,117855959,119528287,35489585,HL,164685,387769,140858,129151,121156,176274
20201,A,3110022,경신고등학교,1552,273,380,203,268,177,251,467335,88362,85715,59064,74749,61353,98093,149483,103336,48565,44379,61468,60104,67302,67605,66737,66959,65781,65505,67446,219485424,8708,196367341,23118083,31521976,47058116,39654243,35759994,42373012,21234893,1883190,0,4879682,155610470,18199949,35170121,5625202,86083300,66302160,195946,11232626,21114326,35669895,51443644,32729021,HH,88635,86095,59267,75017,61530,98344
