기준_년분기_코드,상권_구분_코드,상권_코드,상권_코드_명,총_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,총_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,상권_변화_지표,연령대_10_총_인구_수,연령대_20_총_인구_수,연령대_30_총_인구_수,연령대_40_총_인구_수,연령대_50_총_인구_수,연령대_60_이상_총_인구_수
20231,A,3110886,관악해태어린이공원,3250,117,402,1415,552,301,463,1177696,91103,396524,245797,162672,117396,164205,356792,258438,123999,116544,168074,153851,164947,165676,168440,165262,163453,171460,178458,765901387,52577,590932785,174968602,112978021,135636437,91188399,94410502,156719426,98320795,76647807,1237044,86188409,198848367,227565390,200852476,51209701,372739327,331606633,448580,161898554,147968869,89641809,235057942,69330207,LL,91220,396926,247212,163224,117697,164668
20231,A,3110887,서울산업정보학교(서울삼성초등학교),1703,98,199,648,270,166,322,526918,58319,183733,97681,65788,52370,69026,121754,112652,70371,69212,88903,64026,75058,76008,75521,75787,75412,75151,73982,9081176,220,8554911,526265,1232786,1957954,2382695,975870,2005606,526265,0,0,370872,5498845,269349,2942110,0,2507009,704449,0,511762,882633,459964,451676,905424,LH,58417,183932,98329,66058,52536,69348
20231,A,3110888,청룡동주민센터,1357,72,100,225,212,235,513,740416,68380,189305,147202,94515,91913,149101,189702,152482,83878,84985,130106,99261,103033,103118,103978,102673,102042,110375,115198,332306452,16001,226815137,105491315,33700887,46608150,46854563,37677649,61973888,60694222,44797093,2575580,3647852,91295756,51583497,145529031,37674736,167586731,118999739,1819341,26717858,61698786,65920084,73034856,57395538,LH,68452,189405,147427,94727,92148,149614
20231,A,3110889,봉천역 6번,2316,203,205,576,396,282,654,502096,65939,68267,79801,82880,71124,134086,147532,111581,51389,48642,75982,66971,70640,70193,70156,69275,69386,75210,77236,179514595,7841,126164613,53349982,26266815,26363629,24383099,23735274,25415796,24275526,29074456,525910,8360774,50692943,28076422,58520633,33337913,111237135,43648139,167335,12723435,24274332,31708787,49574188,36437196,LL,66142,68472,80377,83276,71406,134740
20231,A,3110890,봉천역 1번(관악초등학교),3044,165,317,1102,490,333,637,842790,70475,258040,169014,95657,89287,160316,247200,169257,86787,85785,135779,117980,115505,116338,118906,116833,116794,125303,133112,392021922,31489,292061852,99960070,49215195,57715321,61239271,58056887,65835178,49898614,50061456,20120824,52901776,120272338,49440761,110596233,38689990,225100141,141273645,1323285,70210585,97800344,57274565,72906659,66858349,LL,70640,258357,170116,96147,89620,160953
20231,A,3110891,구암초등학교,983,95,118,121,143,168,338,221833,49646,20907,29896,42273,30249,48862,60348,42064,23902,25994,38180,31347,31601,30976,31160,31014,31175,32169,33739,74772869,5652,54034054,20738815,13737796,9694866,7828468,13637764,9135160,10271228,10467587,6342469,3534997,18563668,11877265,26763138,7691332,28228549,32091178,0,5221432,11399359,19762730,16050038,7886168,LL,49741,21025,30017,42416,30417,49200
20231,A,3110892,관악구 중앙길,11827,881,1159,2939,1791,1603,3454,4467751,422868,1183639,901637,599275,522889,837442,1259547,899468,473309,476264,731695,627468,624661,626381,631632,625257,630818,662188,666816,4918996529,206021,3495238183,1423758346,650445613,684437298,683674701,647498494,829182077,810547212,613211134,436107362,118281639,691050785,448760586,1871770284,1353025873,2889054791,1747353492,35707523,981480991,1171647361,794225314,885937220,767409867,LL,423749,1184798,904576,601066,524492,840896
20231,A,3110893,관악소방서(문영여고),292,17,50,96,45,36,48,83116,14590,18219,14113,10564,10110,15520,30310,20321,7916,6159,8044,10365,12106,12258,12193,12243,12147,10958,11210,478495555,30022,321126754,157368801,60579542,69435495,55539329,67914556,67657832,63591699,93777102,18794723,75210281,217013334,58147719,89791943,19537555,296767347,136142192,5689894,45400460,70231138,74335494,107928503,129324051,HL,14607,18269,14209,10609,10146,15568
20231,A,3110895,샤로수길,9132,684,1011,2923,1389,1045,2080,3935303,442545,1293875,763111,479543,396953,559275,976782,773003,446497,450051,746456,542513,534402,542304,547765,548260,563795,602045,596731,10656845078,307714,7303665589,3353179489,1107746697,1362574980,1438138594,1518576910,1876628408,1893352872,1459826617,667295351,138093259,1994574844,966553808,4503733964,2386593852,5156891394,3968522718,52416215,3415528385,2749882407,1009635080,1107314765,790637264,LL,443229,1294886,766034,480932,397998,561355
20231,A,3110896,관악우성아파트,222,23,25,31,36,33,74,187154,27115,31487,28687,27988,25921,45954,45148,37078,23011,24219,33232,24464,26608,26687,26743,26402,26837,27027,26848,634834209,21049,485067991,149766218,93234301,85810809,99689694,99338867,106994320,83069127,66697091,0,11690380,218043779,80700790,272316971,52082289,279657820,191207403,909499,25816990,71621021,89903767,130105570,152508373,HL,27138,31512,28718,28024,25954,46028
20231,A,3110897,서울대입구역 8번,5445,368,494,1410,800,701,1672,1568928,141066,456489,336679,189769,180188,264737,481865,334164,167179,159874,224436,201411,219739,218702,218318,216665,217378,234827,243298,642669352,17262,482664330,160005022,90904237,96606016,84121467,100083264,110949346,93883931,66121091,3381653,18496450,233299919,66944776,218566072,101980482,278994196,144440666,3023120,76123441,103034756,82634983,79860875,78757686,LL,141434,456983,338089,190569,180889,266409
20231,A,3110900,낙성대역 1번(관악구민 종합체육센터),6613,512,611,2338,1116,733,1303,1806475,215917,493828,370050,233510,188135,305035,539383,375444,177656,175307,281013,257673,251698,251208,254861,252448,250804,269371,276085,2027863459,88741,1513487867,514375592,275211960,302603539,290440881,276545724,368685763,309805065,204570527,47044286,50892418,345898330,173294453,918867557,491866415,1220020891,625588499,7534880,437754485,566268791,338737664,305639940,189673631,LL,216429,494439,372388,234626,188868,306338
20231,A,3110901,인헌고등학교(인헌중학교),5321,524,567,1001,932,828,1469,1232951,166535,222402,250354,173795,173700,246164,379568,265123,122644,115940,179072,170604,169862,170105,169796,169182,169205,187697,197103,429579600,16849,269826168,159753432,24677161,57599629,61267922,64538336,61743120,81183842,78569590,21085957,6991745,57442795,43706195,203407658,96945250,246258148,165357202,1399912,77748721,124692568,71017330,71245874,65510945,LL,167059,222969,251355,174727,174528,247633
20231,A,3110902,사당역 4번,9327,794,814,2483,1568,1105,2563,2584699,307013,476152,477092,353386,359646,611409,714447,552511,289930,283679,415101,329031,362313,363874,364393,363588,363114,380852,386565,2943955825,144058,2099713535,844242290,316680921,407324376,420415798,429877337,525415103,519246463,324995827,95088371,91625220,739026561,460597210,1171603746,386014717,1559640832,1088087134,5782055,349991327,608216916,426507531,502672490,754557648,LH,307807,476966,479575,354954,360751,613972
